ID	Name	Sex	Treatment	t_limp	n_limb	n_abeb	n_trec	n_and	n_vooc	n_pulp	n_darp	t_com	n_def	t_beb	t_for	t_obs	n_pulo	n_estp	t_cant	n_vocc	t_rel	n_conf
1	M02	M	100	0	0	1	0	0	0	0	0	0	0	0	0	299.297	0	0	0	0	0	0
1	M02	M	50	0	1	0	0	0	0	4	0	189.887	0	2.999	0	90.001	4	0	0	0	0	0
1	M02	M	0	0	0	0	0	2	0	2	0	121.817	0	0	109.02	57.359	1	0	0	0	0	0
2	M03	M	100	0	0	0	0	0	0	0	0	0	0	0	0	39.144	0	0	0	0	256.252	0
2	M03	M	50	0	0	0	0	0	0	1	0	0	0	0	0	227.722	0	2	0	0	64.565	0
2	M03	M	0	0	0	0	0	0	0	0	0	0	0	0	0	244.441	0	1	0	0	51.453	0
3	M06	M	100	0	2	0	0	0	3	1	0	46.547	0	0	0	228.613	3	2	0	1	0	1
3	M06	M	50	0	4	0	0	0	2	0	0	0	0	0	0	304.104	2	1	0	11	0	0
3	M06	M	0	0	5	1	0	0	6	2	1	96.893	0	0	0	175.782	9	1	0	14	0	0
4	M08	M	100	0	0	0	0	0	4	3	0	113.221	0	0	0	172.871	3	9	0	0	0	0
4	M08	M	50	0	0	0	0	0	15	20	0	0	0	0	0	198.688	14	1	0	0	0	0
4	M08	M	0	0	0	0	0	0	2	0	0	263.465	0	0	0	32.137	1	3	0	1	0	0
5	M10	M	100	0	0	0	0	0	0	0	0	0	0	0	0	300.699	0	0	0	0	0	0
5	M10	M	50	0	1	2	1	0	2	1	0	31.331	0	0	0	179.482	1	0	0	0	72.678	0
5	M10	M	0	0	0	0	0	0	0	0	0	300.907	0	0	0	0	0	0	0	0	0	0
6	M09	M	100	0	0	4	0	0	0	0	0	0	0	0	0	292.294	0	0	0	0	0	0
6	M09	M	50	0	0	1	0	0	0	0	0	0	1	0	0	299.692	0	0	0	0	0	0
6	M09	M	0	0	0	2	0	0	0	0	0	0	0	0	0	128.835	0	1	0	0	134.94	0
7	M11	M	100	0	0	0	1	2	1	3	2	92.693	0	0	0	145.265	8	2	0	2	40.136	0
7	M11	M	50	0	0	0	0	0	0	0	0	0	0	0	0	281.473	0	1	0	0	12.922	0
7	M11	M	0	0	0	0	0	0	0	0	0	0	0	0	0	304.306	0	0	0	0	0	0
8	M04	M	100	0	6	0	1	0	7	1	0	223.419	0	0	0	31.143	7	0	0	0	0	0
8	M04	M	50	0	2	3	2	0	0	0	0	0	0	0	0	129.729	0	0	0	0	151.344	0
8	M04	M	0	0	0	1	0	0	0	0	0	0	0	0	0	159.861	0	0	0	0	127.227	0
9	M07	M	100	1.601	11	2	2	2	13	19	3	16.112	0	0	19.423	121.283	12	4	0	1	0	10
9	M07	M	50	0	7	3	1	0	4	9	2	0	1	0	24.326	184.384	7	2	0	0	16.421	2
9	M07	M	0	0	5	1	0	2	4	28	1	168.365	0	0	0	49.252	10	0	0	0	0	0
10	M12	M	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	301.41	0
10	M12	M	50	0	0	0	1	0	1	0	0	0	0	0	0	292.296	0	1	0	1	0	0
10	M12	M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	300.203	0
11	F15	F	100	0	0	0	0	0	0	0	0	0	0	0	0	253.548	0	3	0	0	42.244	0
11	F15	F	50	0	0	0	0	0	0	0	0	0	0	0	0	234.031	0	0	0	0	64.869	0
11	F15	F	0	0	0	1	0	0	0	0	0	0	0	0	0	133.133	0	0	0	0	165.19	0
12	F03	F	100	0	0	0	0	0	0	0	0	0	0	0	0	270.068	0	0	0	0	28.124	0
12	F03	F	50	0	0	6	0	0	0	0	0	0	0	0	0	248.124	0	0	0	0	47.951	0
12	F03	F	0	0	0	0	0	0	0	0	0	292.992	0	0	0	4.601	0	0	0	0	0	0
