Name	Sex	Treatment	Freq25	Freq75	PeakFreq	
M03	M	75	3375	3562.5	3468.75	
M03	M	75	3281.25	3562.5	3562.5	
M03	M	75	3093.75	3562.5	3468.75	
M03	M	75	2718.75	3375	3375	
M03	M	75	3468.75	3562.5	3562.5	
M03	M	75	3468.75	3562.5	3562.5	
M03	M	75	3375	3562.5	3468.75	
M03	M	75	3375	3562.5	3562.5	
M03	M	75	3375	3562.5	3562.5	
M03	M	50	3187.5	3468.75	3375	
M03	M	50	3375	3468.75	3468.75	
M06	M	100	2156.25	2437.5	2156.25	
M06	M	100	2156.25	2718.75	2062.5	
M06	M	100	2718.75	4406.25	3562.5	
M06	M	100	2437.5	3000	2531.25	
M06	M	100	2625	3000	2906.25	
M06	M	100	2531.25	2812.5	2625	
M06	M	100	2625	3656.25	2531.25	
M06	M	100	2531.25	2906.25	2437.5	
M06	M	100	2625	3562.5	3562.5	
M06	M	100	2531.25	3468.75	2625	
M06	M	100	2437.5	2718.75	2531.25	
M06	M	100	2437.5	3281.25	3093.75	
M06	M	100	2625	3000	2718.75	
M06	M	90	1875	2062.5	2062.5	
M06	M	90	2437.5	2812.5	2718.75	
M06	M	90	2062.5	2250	2062.5	
M06	M	90	2250	3000	2625	
M06	M	90	2625	3281.25	2718.75	
M06	M	90	2437.5	2906.25	2437.5	
M06	M	90	2343.75	2812.5	2437.5	
M06	M	90	2625	3000	2625	
M06	M	90	2062.5	3000	2625	
M06	M	90	2718.75	3000	2906.25	
M06	M	75	2531.25	3187.5	2812.5	
M06	M	75	2625	3187.5	2625	
M06	M	75	2437.5	2906.25	2625	
M06	M	75	2531.25	3093.75	2531.25	
M06	M	75	2437.5	2906.25	2625	
M06	M	75	2437.5	3000	2531.25	
M06	M	75	2531.25	3093.75	2718.75	
M06	M	75	2437.5	2906.25	2437.5	
M06	M	75	2156.25	3093.75	2250	
M06	M	75	2625	3187.5	2718.75	
M06	M	75	2437.5	2812.5	2625	
M06	M	75	2531.25	2906.25	2625	
M06	M	75	2437.5	2812.5	2437.5	
M06	M	75	2343.75	2718.75	2343.75	
M06	M	75	2531.25	3000	2625	
M06	M	75	2437.5	2718.75	2531.25	
M06	M	75	2437.5	2812.5	2437.5	
M06	M	75	2437.5	2906.25	2718.75	
M06	M	75	2625	3750	2437.5	
M06	M	75	2437.5	3656.25	2625	
M06	M	75	2531.25	3093.75	2531.25	
M06	M	75	2718.75	3750	4218.75	
M06	M	75	2343.75	2718.75	2531.25	
M06	M	75	2437.5	2812.5	2531.25	
M06	M	75	2156.25	2437.5	2343.75	
M06	M	75	2250	2718.75	2343.75	
M06	M	75	2531.25	3000	2625	
M06	M	75	2531.25	3000	2531.25	
M06	M	50	2531.25	2906.25	2625	
M06	M	50	2531.25	2906.25	2625	
M06	M	50	3000	4500	4406.25	
M06	M	50	2437.5	2718.75	2531.25	
M06	M	50	2812.5	3656.25	3656.25	
M06	M	50	2531.25	3000	2531.25	
M06	M	50	2437.5	2906.25	2437.5	
M06	M	50	2437.5	2812.5	2625	
M06	M	50	2531.25	3000	2625	
M06	M	50	2437.5	2906.25	2625	
M06	M	50	2343.75	2718.75	2625	
M06	M	50	2531.25	3375	2625	
M06	M	50	4875	5062.5	4968.75	
M06	M	50	2437.5	3000	2437.5	
M06	M	50	5531.25	6093.75	5718.75	
M06	M	50	2250	2718.75	2343.75	
M06	M	50	2531.25	2906.25	2625	
M06	M	50	2625	3375	2625	
M06	M	50	2343.75	2812.5	2625	
M06	M	50	2531.25	2906.25	2625	
M06	M	50	2437.5	2718.75	2625	
M06	M	50	2250	2718.75	2437.5	
M06	M	50	2437.5	2906.25	2437.5	
M06	M	50	2531.25	3000	2531.25	
M06	M	50	2531.25	2906.25	2625	
M06	M	50	2343.75	2625	2625	
M06	M	50	2437.5	2812.5	2625	
M06	M	0	2250	2531.25	2343.75	
M06	M	0	2250	2625	2625	
M06	M	0	2156.25	2625	2062.5	
M06	M	0	2156.25	3000	3562.5	
M06	M	0	2343.75	2718.75	2343.75	
M06	M	0	2343.75	2718.75	2343.75	
M06	M	0	2156.25	2625	2625	
M06	M	0	2343.75	2718.75	2531.25	
M06	M	0	2156.25	2718.75	2531.25	
M06	M	0	2437.5	2625	2437.5	
M06	M	0	2250	2718.75	2531.25	
M06	M	0	2250	2625	2531.25	
M06	M	0	2156.25	2718.75	2718.75	
M06	M	0	2343.75	2906.25	2531.25	
M06	M	0	2156.25	2625	2156.25	
M06	M	0	2250	3000	2156.25	
M06	M	0	2437.5	2625	2531.25	
M08	M	50	2156.25	3843.75	4125	
M07	M	0	2718.75	3468.75	3093.75	
M10	M	100	2437.5	3093.75	2437.5	
M09	M	75	2906.25	3937.5	3093.75	
M09	M	75	2812.5	3656.25	2812.5	
M12	M	100	3000	3562.5	2812.5	
M12	M	100	3093.75	3750	3843.75	
M12	M	100	3000	3562.5	3281.25	
M12	M	100	3000	3750	3750	
M12	M	100	3000	3562.5	2718.75	
M12	M	100	3187.5	3750	3281.25	
M12	M	100	2062.5	3187.5	1968.75	
M12	M	100	2343.75	3937.5	3937.5	
M12	M	100	2812.5	3656.25	3281.25	
M12	M	100	2062.5	3562.5	2062.5	
M12	M	100	2343.75	3375	2437.5	
M12	M	100	2625	3468.75	2718.75	
M12	M	100	2531.25	3375	2718.75	
M12	M	100	2812.5	3562.5	3281.25	
M12	M	100	2062.5	3375	2062.5	
M12	M	100	2718.75	3375	2718.75	
M12	M	100	2812.5	3562.5	3281.25	
M12	M	100	2812.5	3468.75	3468.75	
M12	M	100	2718.75	3468.75	2812.5	
M12	M	100	2906.25	3468.75	2906.25	
M12	M	100	2718.75	3468.75	3281.25	
M12	M	100	2718.75	3375	2718.75	
M12	M	100	2625	3562.5	3093.75	
M12	M	100	2812.5	3468.75	2718.75	
M12	M	100	2906.25	3468.75	3000	
M12	M	90	2906.25	3562.5	2812.5	
M12	M	90	3093.75	3750	3187.5	
M12	M	90	3093.75	3656.25	3093.75	
M12	M	90	3093.75	3750	3281.25	
M12	M	90	2906.25	3750	2812.5	
M12	M	90	3000	3562.5	3562.5	
M12	M	90	2625	3562.5	3843.75	
M12	M	90	2718.75	3375	3000	
M12	M	90	2718.75	3468.75	3093.75	
M12	M	90	2625	3656.25	3750	
M12	M	90	2718.75	3468.75	3750	
M12	M	90	2437.5	3468.75	1968.75	
M12	M	90	2812.5	3187.5	2812.5	
M12	M	90	2812.5	3468.75	3000	
M12	M	90	2062.5	3468.75	1968.75	
M12	M	90	2718.75	3281.25	2812.5	
M12	M	90	2531.25	3656.25	1968.75	
M12	M	90	2718.75	3281.25	2906.25	
M12	M	75	3000	3562.5	3187.5	
M12	M	75	3187.5	3656.25	3281.25	
M12	M	75	3093.75	3656.25	3656.25	
M12	M	75	3093.75	3562.5	3187.5	
M12	M	75	3187.5	3656.25	3656.25	
M12	M	75	2906.25	3750	3843.75	
M12	M	75	2812.5	3468.75	2718.75	
M12	M	75	3000	3562.5	2718.75	
M12	M	50	3000	3750	3750	
M12	M	50	2812.5	3656.25	3281.25	
M12	M	50	2062.5	3093.75	2062.5	
M12	M	50	3187.5	3562.5	3281.25	
M12	M	50	2718.75	3281.25	2718.75	
M12	M	50	2812.5	3656.25	3937.5	
M12	M	0	3000	3656.25	3093.75	
F15	F	75	5156.25	5531.25	5250	
F15	F	75	5156.25	5625	5531.25	
F14	F	100	2156.25	3750	2156.25	
F14	F	100	2156.25	3750	2156.25	
