Name 	Sex	Treatment	N_treatment	Freq_treatment	Repetition_rate
M03	M	100	0	0	0
M03	M	90	0	0	0
M03	M	75	11	0.733333333	2.2
M03	M	50	4	0.266666667	0.8
M03	M	0	0	0	0
M06	M	100	13	0.128712871	2.6
M06	M	90	10	0.099009901	2
M06	M	75	29	0.287128713	5.8
M06	M	50	29	0.287128713	5.8
M06	M	0	20	0.198019802	4
M08	M	100	0	0	0
M08	M	90	0	0	0
M08	M	75	0	0	0
M08	M	50	1	1	0.2
M08	M	0	0	0	0
M07	M	100	0	0	0
M07	M	90	0	0	0
M07	M	75	0	0	0
M07	M	50	0	0	0
M07	M	0	1	1	0.2
M10	M	100	1	1	0.2
M10	M	90	0	0	0
M10	M	75	0	0	0
M10	M	50	0	0	0
M10	M	0	0	0	0
M09	M	100	0	0	0
M09	M	90	0	0	0
M09	M	75	4	1	0.8
M09	M	50	0	0	0
M09	M	0	0	0	0
M12	M	100	32	0.41025641	6.4
M12	M	90	22	0.282051282	4.4
M12	M	75	8	0.102564103	1.6
M12	M	50	13	0.166666667	2.6
M12	M	0	3	0.038461538	0.6
F15	F	100	0	0	0
F15	F	90	0	0	0
F15	F	75	3	1	0.6
F15	F	50	0	0	0
F15	F	0	0	0	0
F14	F	100	13	0.590909091	2.6
F14	F	90	4	0.181818182	0.8
F14	F	75	5	0.227272727	1
F14	F	50	0	0	0
F14	F	0	0	0	0
F08	F	100	11	0.239130435	2.2
F08	F	90	0	0	0
F08	F	75	20	0.434782609	4
F08	F	50	5	0.108695652	1
F08	F	0	10	0.217391304	2
F09	F	100	0	0	0
F09	F	90	0	0	0
F09	F	75	1	0.5	0.2
F09	F	50	0	0	0
F09	F	0	1	0.5	0.2
F13	F	100	3	0.5	0.6
F13	F	90	0	0	0
F13	F	75	1	0.166666667	0.2
F13	F	50	2	0.333333333	0.4
F13	F	0	0	0	0
F11	F	100	11	0.224489796	2.2
F11	F	90	17	0.346938776	3.4
F11	F	75	2	0.040816327	0.4
F11	F	50	11	0.224489796	2.2
F11	F	0	8	0.163265306	1.6
