Name 	Sex	Treatment	N_overlapping	Freq_O
M03	M	100	0	0
M03	M	90	0	0
M03	M	75	2	0.181818182
M03	M	50	2	0.5
M03	M	0	0	0
M06	M	100	0	0
M06	M	90	0	0
M06	M	75	0	0
M06	M	50	3	0.103448276
M06	M	0	3	0.15
M09	M	100	0	0
M09	M	90	0	0
M09	M	75	2	0.5
M09	M	50	0	0
M09	M	0	0	0
M12	M	100	7	0.21875
M12	M	90	4	0.181818182
M12	M	75	0	0
M12	M	50	4	0.307692308
M12	M	0	2	0.666666667
F15	F	100	0	0
F15	F	90	0	0
F15	F	75	1	0.333333333
F15	F	50	0	0
F15	F	0	0	0
F14	F	100	0	0
F14	F	90	1	0.25
F14	F	75	0	0
F14	F	50	0	0
F14	F	0	0	0
F08	F	100	0	0
F08	F	90	0	0
F08	F	75	2	0.1
F08	F	50	1	0.2
F08	F	0	4	0.4
F11	F	100	1	0.090909091
F11	F	90	3	0.176470588
F11	F	75	0	0
F11	F	50	0	0
F11	F	0	0	0
