Name	Sex	Treatment	Freq25	Freq75	PeakFreq
M06	M	100	2531250	2812500	2718750
M06	M	50	2718750	3187500	2718750
M06	M	50	2718750	3093750	2718750
M06	M	50	2156250	2906250	2625000
M06	M	50	2156250	3468750	3468750
M06	M	50	2437500	3000000	2718750
M06	M	50	2625000	3000000	2718750
M06	M	50	2625000	3187500	2906250
M06	M	50	2625000	3093750	3093750
M06	M	50	2437500	3093750	2531250
M06	M	50	2531250	3000000	2531250
M06	M	0	2625000	3093750	2718750
M06	M	0	2812500	3187500	3000000
M06	M	0	2437500	2718750	2531250
M06	M	0	2625000	2906250	2718750
M06	M	0	2531250	3093750	3187500
M06	M	0	2531250	3000000	2625000
M06	M	0	2625000	3187500	2531250
M06	M	0	2437500	3000000	2343750
M06	M	0	2531250	3000000	2531250
M06	M	0	2625000	3000000	2625000
M06	M	0	6000000	7781250	6093750
M06	M	0	2343750	3281250	2812500
M06	M	0	2250000	3000000	2625000
M06	M	0	2250000	3187500	2531250
M06	M	0	2812500	3093750	3000000
M06	M	0	2718750	3093750	2812500
M08	M	0	2906250	3468750	3000000
M11	M	100	2625000	3000000	2718750
M11	M	100	2625000	3000000	2906250
M07	M	100	2625000	4687500	2718750
M12	M	50	2812500	5343750	2812500
F14	F	0	2250000	3750000	2250000
F14	F	0	2531250	3468750	2718750
F14	F	0	2250000	3656250	3281250
F14	F	0	3000000	3656250	3000000
F14	F	0	2250000	3562500	3375000
F08	F	0	2906250	3843750	3843750
F08	F	0	3093750	3562500	3281250
